0,1,2,3,4,5,6
27.464,59.94,16.72,1.672,100.46200000000002,1.84,176.33800000000002
31.41,62.69,17.652,7.337999999999999,100.414,2.7,162.38
30.5,66.81,17.46,3.49,100.53,2.49,169.31
27.839999999999996,71.0,14.612,0.01,100.66,3.018,111.31
30.37,63.5,18.64,2.548,100.51,3.34,180.988
30.59,63.25,16.42,19.502000000000002,100.306,3.65,188.36200000000002
29.72,68.19,17.054000000000002,1.576,100.35600000000001,3.52,131.38
26.498,72.662,16.602,1.59,100.442,4.09,200.888
30.46,61.56,15.93,1.79,100.44,2.64,111.31
30.93,71.664,18.259999999999998,0.47,100.34,4.62,120.75
30.58,66.06,17.860000000000003,0.81,100.26,2.3939999999999997,130.06
28.28,79.076,17.578,3.4299999999999997,100.41400000000002,2.61,122.0
29.1,76.44,18.92,1.404,100.40599999999999,2.58,147.38
26.432000000000006,82.75,19.18,6.812,100.41000000000001,2.5,146.4
28.65,78.888,18.226,13.36,100.18,1.55,232.19
28.98,80.94,17.577999999999996,3.6440000000000006,100.34799999999998,2.1,202.44
28.52,80.348,18.163999999999998,6.284000000000001,100.29,2.8,230.44
27.310000000000002,80.314,19.544,5.434,100.13,2.64,234.06
29.33,79.38,19.96,1.66,100.04,3.09,226.62
28.92,80.88,16.869999999999997,3.9800000000000004,100.32,3.096,221.31
27.016000000000002,76.75,17.932,6.794,100.22,4.096,191.714
29.73,81.088,19.1,3.226,100.29,2.5000000000000004,231.81
27.869999999999997,81.35,18.62,0.874,100.15,2.914,215.08800000000002
26.895999999999997,83.464,18.616,7.492,100.18,2.92,228.69
28.84,79.726,17.910000000000004,3.45,100.16,2.97,203.81199999999998
26.184000000000005,78.69,19.17,6.37,100.33200000000001,2.5,195.988
26.077999999999996,83.31,19.47,4.43,100.27,2.04,251.56
26.845999999999997,82.852,19.35,14.690000000000001,100.34,2.03,183.85
27.012,81.514,18.212,0.17,100.31,1.98,194.5
26.93,76.12,19.04,8.754000000000001,100.29600000000002,2.534,180.8
29.15,80.12,18.702,0.9720000000000001,100.436,3.91,134.19
29.14,69.614,16.845999999999997,3.0420000000000003,100.49600000000001,3.41,234.12
